,message_raw,message_tok
10,"After a more than decade-long crisis, beginning with the 1999 coup d'etat and ending with a contested election taking the country to the brink of a renewed civil war, ECOWAS was to wear two hats - playing both peacekeeper and facilitator for the electoral process.","['after', 'decade', 'long', 'crisis', 'beginning', '1999', 'coup', 'etat', 'ending', 'contested', 'election', 'taking', 'country', 'brink', 'renewed', 'civil', 'war', 'ecowas', 'wear', 'two', 'hat', 'playing', 'peacekeeper', 'facilitator', 'electoral', 'process']"
11,"Its food that i need, i dont have access to internet","['its', 'food', 'need', 'dont', 'access', 'internet']"
12,"Emergency supplies including tents, blankets, plastic sheeting, and coal burning stoves for 300 families have been dispatched to the area, as have two mobile health teams.","['emergency', 'supply', 'including', 'tent', 'blanket', 'plastic', 'sheeting', 'coal', 'burning', 'stove', '300', 'family', 'dispatched', 'area', 'two', 'mobile', 'health', 'team']"
13,Haitians with you is anything ,"['haitians', 'anything']"
14,"The minister added that people should avoid using the bush to relief themselves or if they do so, they should ensure that human waste is buried or properly disposed of.","['the', 'minister', 'added', 'people', 'avoid', 'using', 'bush', 'relief', 'ensure', 'human', 'waste', 'buried', 'properly', 'disposed']"
15,I would like to find some informations about these questions that i asked. ,"['i', 'would', 'like', 'find', 'information', 'question', 'asked']"
16,"( No location ) We have no water and food, we have no tent, and the children are starting to be sick.","['no', 'location', 'we', 'water', 'food', 'tent', 'child', 'starting', 'sick']"
17,HOW CAN A YOUNSTER FIND A JOB? ,"['how', 'can', 'a', 'younster', 'find', 'a', 'job']"
18,Due to the twin factors of non-water resistant tents and the lack of proper drainage some IDPs in Trincomalee were relocated to school buildings last week.,"['due', 'twin', 'factor', 'non', 'water', 'resistant', 'tent', 'lack', 'proper', 'drainage', 'idps', 'trincomalee', 'relocated', 'school', 'building', 'last', 'week']"
19,"Rockaways also need mops , ready-to-eat food and cleaning supplies ( Saturday , 11/3 , 1:47 PM )","['rockaways', 'also', 'need', 'mop', 'ready', 'eat', 'food', 'cleaning', 'supply', 'saturday', '11', '3', '1', '47', 'pm']"
20,"In December the KRCS launched a floods appeal that was set to support 563,000 affected people for four months.","['in', 'december', 'krcs', 'launched', 'flood', 'appeal', 'set', 'support', '563', '000', 'affected', 'people', 'four', 'month']"
21,**In Summary** - Residents in affected areas asked to avoid water from contaminated river.,"['in', 'summary', 'residents', 'affected', 'area', 'asked', 'avoid', 'water', 'contaminated', 'river']"
22,"Though weakened, Lili still slammed into Louisiana with hurricane-force winds that ripped up trees, smashed mobile homes and caused widespread blackouts.","['though', 'weakened', 'lili', 'still', 'slammed', 'louisiana', 'hurricane', 'force', 'wind', 'ripped', 'tree', 'smashed', 'mobile', 'home', 'caused', 'widespread', 'blackout']"
23,What did the government say about schools? How many people have died and how many were wounded after the earthquake? How can 2 demonstrations help? ,"['what', 'government', 'say', 'school', 'how', 'many', 'people', 'died', 'many', 'wounded', 'earthquake', 'how', '2', 'demonstration', 'help']"
24,"My friends, I ask you for assistance because my house is destroyed, I sleep in a court and I do not have a prelate to place at the top of me my house is built cloths. ","['my', 'friend', 'i', 'ask', 'assistance', 'house', 'destroyed', 'i', 'sleep', 'court', 'i', 'prelate', 'place', 'top', 'house', 'built', 'cloth']"
25,Tensions between Renamo and the ruling authorities in Mozambique came to a head last November during violent opposition demonstrations to protest against alleged fraud in the December 1999 presidential and legislative elections.,"['tensions', 'renamo', 'ruling', 'authority', 'mozambique', 'came', 'head', 'last', 'november', 'violent', 'opposition', 'demonstration', 'protest', 'alleged', 'fraud', 'december', '1999', 'presidential', 'legislative', 'election']"
26,"The Netherlands has released 40 million for emergency aid, which makes it a major donor within the EU.","['the', 'netherlands', 'released', '40', 'million', 'emergency', 'aid', 'make', 'major', 'donor', 'within', 'eu']"
27,"If you get good traditional medicines, they are very good and better than the hospital, she said.","['if', 'get', 'good', 'traditional', 'medicine', 'good', 'better', 'hospital', 'said']"
28,"* Royal Nepal Army, Nepal Police and Armed Police, who are based in the affected districts, were immediately mobilized to provide rescue and relief support to the flood affected people, and as per the MOHA report, most of the affected people were successfully rescued from the severely flooded areas.","['royal', 'nepal', 'army', 'nepal', 'police', 'armed', 'police', 'based', 'affected', 'district', 'immediately', 'mobilized', 'provide', 'rescue', 'relief', 'support', 'flood', 'affected', 'people', 'per', 'moha', 'report', 'affected', 'people', 'successfully', 'rescued', 'severely', 'flooded', 'area']"
29,"Seismic activity remains low at the Guagua Pichincha Volcano, although, on 22 June, a few hydrothermal tremors were detected.","['seismic', 'activity', 'remains', 'low', 'guagua', 'pichincha', 'volcano', 'although', '22', 'june', 'hydrothermal', 'tremor', 'detected']"
30,condolences for families of the victims of the recent disaster.,"['condolence', 'family', 'victim', 'recent', 'disaster']"
31,What do I have to do to get a visa? ,"['what', 'i', 'get', 'visa']"
32,Thank you Radio Signal for your good work. ,"['thank', 'radio', 'signal', 'good', 'work']"
33,There's an internet cafe at Nazon avenue by Marthin Luther King blvd next to orange market below Genie Market,"['there', 'internet', 'cafe', 'nazon', 'avenue', 'marthin', 'luther', 'king', 'blvd', 'next', 'orange', 'market', 'genie', 'market']"
34,when do they believe the aftershocks might be ended?,"['believe', 'aftershock', 'might', 'ended']"
35,"They have integrated rural credit, advisory services and marketing for improving farming techniques intensify and diversify agricultural production.","['they', 'integrated', 'rural', 'credit', 'advisory', 'service', 'marketing', 'improving', 'farming', 'technique', 'intensify', 'diversify', 'agricultural', 'production']"
36,"Family moved to hotel in Santiago. Since the earthquake, first time we have access to TV images. Brutal.","['family', 'moved', 'hotel', 'santiago', 'since', 'earthquake', 'first', 'time', 'access', 'tv', 'image', 'brutal']"
37,"The country sits in one of the most geologically unstable regions on earth, part of the earthquake-prone ""Ring of Fire,"" that partly encircles the Pacific Basin.","['the', 'country', 'sits', 'one', 'geologically', 'unstable', 'region', 'earth', 'part', 'earthquake', 'prone', 'ring', 'fire', 'partly', 'encircles', 'pacific', 'basin']"
38,"Although down from its peak, violence persists in Darfur nine years after SLA and other ethnic minority rebels rose against the Arab-dominated Khartoum government, which they want to overthrow.","['although', 'peak', 'violence', 'persists', 'darfur', 'nine', 'year', 'sla', 'ethnic', 'minority', 'rebel', 'rose', 'arab', 'dominated', 'khartoum', 'government', 'want', 'overthrow']"
39,"I wish you happy easter to everyone. to 4636, to the government and to the united nations. ","['i', 'wish', 'happy', 'easter', 'everyone', '4636', 'government', 'united', 'nation']"
40,"In 2004, locust invasions, drought, and patchy rainfall damaged crops and significantly drove down cereal production, raising levels of food insecurity throughout the country.","['in', '2004', 'locust', 'invasion', 'drought', 'patchy', 'rainfall', 'damaged', 'crop', 'significantly', 'drove', 'cereal', 'production', 'raising', 'level', 'food', 'insecurity', 'throughout', 'country']"
41,st the bb I lost a lot of blood. Please help me I have a fibroid of 11cm.,"['st', 'bb', 'i', 'lost', 'lot', 'blood', 'please', 'help', 'i', 'fibroid', '11cm']"
42,Some of the NYC Marathon participants will be running the Staten Island portion with backpacks full of supplies. #priorities #SandyHelpFirst real meal since Sandy #calzonezone,"['some', 'nyc', 'marathon', 'participant', 'running', 'staten', 'island', 'portion', 'backpack', 'full', 'supply', 'priority', 'sandyhelpfirst', 'real', 'meal', 'since', 'sandy', 'calzonezone']"
43,"Flood-control workers in Hubei province had abandoned 11 small dikes to ""divert floodwaters and lower the water level in the main stream of the Yangtze"", Xinhua said.","['flood', 'control', 'worker', 'hubei', 'province', 'abandoned', '11', 'small', 'dike', 'divert', 'floodwaters', 'lower', 'water', 'level', 'main', 'stream', 'yangtze', 'xinhua', 'said']"
44,..would love to go to an African country that wants to help Haitians ,"['would', 'love', 'go', 'african', 'country', 'want', 'help', 'haitians']"
45,A crowd of well-wishers and pro-monarchists greeted the former royals as they landed in Darchula by a helicopter.,"['a', 'crowd', 'well', 'wishers', 'pro', 'monarchist', 'greeted', 'former', 'royal', 'landed', 'darchula', 'helicopter']"
46,"With temperatures dropping and winter drawing near, local students' lack of adequate clothing had become very obvious.","['with', 'temperature', 'dropping', 'winter', 'drawing', 'near', 'local', 'student', 'lack', 'adequate', 'clothing', 'become', 'obvious']"
47,"Hi,I know teaching children kindergarten give me a job please. ","['hi', 'i', 'know', 'teaching', 'child', 'kindergarten', 'give', 'job', 'please']"
48,a lot and we don't have any news of him. We haven't even found a body so we could at least know he is dead. The hospitals need to be checked and the registry books also. Please help us!! ( This seems to be the end of another message ),"['lot', 'news', 'we', 'even', 'found', 'body', 'could', 'least', 'know', 'dead', 'the', 'hospital', 'need', 'checked', 'registry', 'book', 'also', 'please', 'help', 'u', 'this', 'seems', 'end', 'another', 'message']"
49,"Against this backdrop, he said the recent terrorist attacks had led to five civilian deaths in the capital, Bamako, and to the attack against a barracks belonging to the UN Multidimensional Integrated Stabilization Mission (MINUSMA) in Kidal that killed two Malian children and a Chadian peacekeeper, and injured 11 peacekeepers and three civilians.","['against', 'backdrop', 'said', 'recent', 'terrorist', 'attack', 'led', 'five', 'civilian', 'death', 'capital', 'bamako', 'attack', 'barrack', 'belonging', 'un', 'multidimensional', 'integrated', 'stabilization', 'mission', 'minusma', 'kidal', 'killed', 'two', 'malian', 'child', 'chadian', 'peacekeeper', 'injured', '11', 'peacekeeper', 'three', 'civilian']"
50,"Urgent needs also include water storage containers, soap and personal hygiene education programmes.","['urgent', 'need', 'also', 'include', 'water', 'storage', 'container', 'soap', 'personal', 'hygiene', 'education', 'programme']"
51,I would like to know information about gran gwav. ,"['i', 'would', 'like', 'know', 'information', 'gran', 'gwav']"
52,"To sustain the production of biscuits and blended foods, new donations of milk powder are urgently needed.","['to', 'sustain', 'production', 'biscuit', 'blended', 'food', 'new', 'donation', 'milk', 'powder', 'urgently', 'needed']"
53,"We are at the church of L'eglise Evangelique of Claude Noel. We are inside, please bring food and water for us.","['we', 'church', 'l', 'eglise', 'evangelique', 'claude', 'noel', 'we', 'inside', 'please', 'bring', 'food', 'water', 'u']"
54,there will an other more powerfull earthquake ,"['powerfull', 'earthquake']"
55,PRCS Base Hospital established at Al-Shifa Trust has treated 826 trauma patients where 39 patients with critical injuries are still under treatment.,"['prcs', 'base', 'hospital', 'established', 'al', 'shifa', 'trust', 'treated', '826', 'trauma', 'patient', '39', 'patient', 'critical', 'injury', 'still', 'treatment']"
56,"For example the fruits of Dobera glabra, the Konso people's drought indicator plant, are edible and the kernel is considered a typical famine-food.","['for', 'example', 'fruit', 'dobera', 'glabra', 'konso', 'people', 'drought', 'indicator', 'plant', 'edible', 'kernel', 'considered', 'typical', 'famine', 'food']"
57,I'm starting to get legitimately worried about this hurricane..,"['i', 'starting', 'get', 'legitimately', 'worried', 'hurricane']"
58,"More than 2,400 people reportedly have died in India over recent as temperatures soared above 40 degrees Celsius.","['more', '2', '400', 'people', 'reportedly', 'died', 'india', 'recent', 'temperature', 'soared', '40', 'degree', 'celsius']"
59,"In a further blow to Zimbabwe's poultry industry, Harare was reportedly unlikely to meet an EU deadline to eradicate a poultry disease, which threatens its lucrative ostrich meat export to the European markets.","['in', 'blow', 'zimbabwe', 'poultry', 'industry', 'harare', 'reportedly', 'unlikely', 'meet', 'eu', 'deadline', 'eradicate', 'poultry', 'disease', 'threatens', 'lucrative', 'ostrich', 'meat', 'export', 'european', 'market']"
60,elavanGloryBoy I can't nigga I'm out here doing this army shit helping with the aftermath of the storm 12hr shifts 7am-7pmThese calls are so silllllly ! Fixxxxxx because of sandy ?,"['elavangloryboy', 'i', 'nigga', 'i', 'army', 'shit', 'helping', 'aftermath', 'storm', '12hr', 'shift', '7am', '7pmthese', 'call', 'silllllly', 'fixxxxxx', 'sandy']"
61,I would like to register in this program please. ,"['i', 'would', 'like', 'register', 'program', 'please']"
62,Cyclone Young-biff2009live-com: youngbiff93yahoo.com ,"['cyclone', 'young', 'biff2009live', 'com', 'youngbiff93yahoo', 'com']"
63,"But recently we are hearing of many localities, counties and towns in all parts of the country affected by floods holding 'victory celebration galas' one after the other.","['but', 'recently', 'hearing', 'many', 'locality', 'county', 'town', 'part', 'country', 'affected', 'flood', 'holding', 'victory', 'celebration', 'gala', 'one']"
64,"On her 0.15 hectares of lowland she now produces ten 75-KG sacks of rice, providing food for her family and a source of income when she sells some of the rice she has parboiled.","['on', '0', '15', 'hectare', 'lowland', 'produce', 'ten', '75', 'kg', 'sack', 'rice', 'providing', 'food', 'family', 'source', 'income', 'sell', 'rice', 'parboiled']"
65,"According to the latest update by the Ministry of Foreign Affairs on Wednesday, the number of the uncontactable Singaporeans has dropped to eight, while nine are confirmed dead and 15 others are still missing.","['according', 'latest', 'update', 'ministry', 'foreign', 'affairs', 'wednesday', 'number', 'uncontactable', 'singaporeans', 'dropped', 'eight', 'nine', 'confirmed', 'dead', '15', 'others', 'still', 'missing']"
66,"On top of those drowned or killed by mudslides or lightning strikes since the monsoon hit in early June, about 400 people are missing and feared dead after an overloaded ferry capsized in a swollen Bangladeshi river.","['on', 'top', 'drowned', 'killed', 'mudslide', 'lightning', 'strike', 'since', 'monsoon', 'hit', 'early', 'june', '400', 'people', 'missing', 'feared', 'dead', 'overloaded', 'ferry', 'capsized', 'swollen', 'bangladeshi', 'river']"
67,"KATHMANDU, Apr 11, 2009 (Xinhua via COMTEX) -- At least six Kosi flood victims were injured when police clashed with the flood victims who were staging a protest at Haripur, Sunsari district in eastern Nepal, the National News Agency RSS reported on Sunday.","['kathmandu', 'apr', '11', '2009', 'xinhua', 'via', 'comtex', 'at', 'least', 'six', 'kosi', 'flood', 'victim', 'injured', 'police', 'clashed', 'flood', 'victim', 'staging', 'protest', 'haripur', 'sunsari', 'district', 'eastern', 'nepal', 'national', 'news', 'agency', 'rss', 'reported', 'sunday']"
68,Surrounding it are seemingly rich fields of corn and casava.,"['surrounding', 'seemingly', 'rich', 'field', 'corn', 'casava']"
69,"mwen se yon viktim nan tranbleman to ki sot frape Ayiti kay manman mwen kraze se nan lari mwen ap domi nan seren tanpri edem poum lavim ka souri e poum k I am a victim of the earthquake that recently hit Haiti. My mother's house collapsed. I am living in the streets, please help so I can smile again. ...","['mwen', 'se', 'yon', 'viktim', 'nan', 'tranbleman', 'ki', 'sot', 'frape', 'ayiti', 'kay', 'manman', 'mwen', 'kraze', 'se', 'nan', 'lari', 'mwen', 'ap', 'domi', 'nan', 'seren', 'tanpri', 'edem', 'poum', 'lavim', 'ka', 'souri', 'e', 'poum', 'k', 'i', 'victim', 'earthquake', 'recently', 'hit', 'haiti', 'my', 'mother', 'house', 'collapsed', 'i', 'living', 'street', 'please', 'help', 'i', 'smile']"
70,"Because the country is so crowded, others find shelter in unexpected places, like abandoned buildings or even cowsheds.","['because', 'country', 'crowded', 'others', 'find', 'shelter', 'unexpected', 'place', 'like', 'abandoned', 'building', 'even', 'cowshed']"
71,"When wintertime hits, with snow and poor visibility, it will hamper helicopter operations from delivering the needed relief supplies.","['when', 'wintertime', 'hit', 'snow', 'poor', 'visibility', 'hamper', 'helicopter', 'operation', 'delivering', 'needed', 'relief', 'supply']"
72,"if there is no jif to treat drinking water, can I treat it with the seed bleach? ","['jif', 'treat', 'drinking', 'water', 'i', 'treat', 'seed', 'bleach']"
73,WE NEED TENTS IN FONTAMARA 43 MENOS STREET PROLONGE ,"['we', 'need', 'tents', 'in', 'fontamara', '43', 'menos', 'street', 'prolonge']"
74,"The number of Chinese army and armed police personnel dispatched to quake-hit areas by Thursday has reached a record 95,553, with 148 military and civilian aircraft used for disaster relief.","['the', 'number', 'chinese', 'army', 'armed', 'police', 'personnel', 'dispatched', 'quake', 'hit', 'area', 'thursday', 'reached', 'record', '95', '553', '148', 'military', 'civilian', 'aircraft', 'used', 'disaster', 'relief']"
75,hI am an orphan. I have finished school. I cannot find anything. Do something for me.,"['hi', 'orphan', 'i', 'finished', 'school', 'i', 'find', 'anything', 'do', 'something']"
76,Quotation documentation for the geophysical survey required before drilling can start has been completed this week and will be distributed beginning of next.,"['quotation', 'documentation', 'geophysical', 'survey', 'required', 'drilling', 'start', 'completed', 'week', 'distributed', 'beginning', 'next']"
77,"We are survivors of the earthquake. W don't have the courage to stay in Port-au-Prince. We are forced to go to the province, near Ponsonde ( noulagu? )","['we', 'survivor', 'earthquake', 'w', 'courage', 'stay', 'port', 'au', 'prince', 'we', 'forced', 'go', 'province', 'near', 'ponsonde', 'noulagu']"
78,"On 15 August 2014, for example, security forces raided and shut down Radio Shabelle and SkyFM, [arrested 19 journalists](http://www.ifj.org/nc/news-single-view/backpid/32/article/ifj-demands-immediate-release-of-somali-journalists-following-government-attacks-on-media-freedom/) and subsequently imprisoned and tortured several of them, according to the International Federation of Journalists (IFJ).","['on', '15', 'august', '2014', 'example', 'security', 'force', 'raided', 'shut', 'radio', 'shabelle', 'skyfm', 'arrested', '19', 'journalist', 'urlplaceholder', 'subsequently', 'imprisoned', 'tortured', 'several', 'according', 'international', 'federation', 'journalists', 'ifj']"
79,Workers are also preparing to purchase large quantities of tin in order to repair some of the hundreds of homes damaged by the storms.,"['workers', 'also', 'preparing', 'purchase', 'large', 'quantity', 'tin', 'order', 'repair', 'hundred', 'home', 'damaged', 'storm']"
80,* Availability of seed in the rainfed areas is increasingly a constraint.,"['availability', 'seed', 'rainfed', 'area', 'increasingly', 'constraint']"
81,"My husband & I are available to help doing what ever is needed - we have clothes for people - we can bring food , coffee etc","['my', 'husband', 'i', 'available', 'help', 'ever', 'needed', 'clothes', 'people', 'bring', 'food', 'coffee', 'etc']"
82,Information about the earthquake in Haiti,"['information', 'earthquake', 'haiti']"
