,message
10057,18
10058,11
10059,13
10060,7
10061,13
10062,14
10063,9
10064,12
10065,12
10066,4
10067,13
10068,18
10069,9
10070,10
10071,10
10072,10
10073,13
10074,17
10075,14
10076,8
10077,22
10078,4
10079,18
10080,11
10081,6
10082,11
10083,12
10084,13
10085,9
10086,24
10087,7
10088,15
10089,18
10090,14
10091,5
10092,12
10093,13
10094,10
10095,10
10096,11
10097,10
10098,9
10099,9
10100,9
10101,21
10102,12
10103,12
10104,17
10105,12
10106,10
10107,13
10108,4
10109,6
10110,11
10111,12
10112,8
10113,9
10114,10
10115,13
10116,15
10117,12
10118,42
10119,13
10120,5
10121,17
10122,20
10123,16
10124,10
10125,17
10126,17
10127,15
10128,14
10129,11
10130,17
10131,9
10132,11
10133,19
10134,13
10135,16
10136,15
10137,9
10138,17
10139,20
10140,11
10141,11
10142,13
10143,8
10144,18
10145,11
10146,13
10147,17
10148,14
10149,11
10150,15
10151,12
10152,17
10153,17
10154,18
10155,18
10156,6
10157,16
10158,18
10159,18
10160,15
10161,13
10162,8
10163,12
10164,17
10165,14
10166,8
10167,22
10168,20
10169,17
10170,11
10171,16
10172,15
10173,18
10174,13
10175,18
10176,13
10177,5
10178,7
10179,16
10180,22
10181,17
10182,21
10183,12
10184,7
10185,26
10186,22
10187,11
10188,12
10189,17
10190,12
10191,13
10192,14
10193,12
10194,6
10195,17
10196,15
10197,14
10198,9
10199,10
10200,10
10201,12
10202,12
10203,10
10204,12
10205,19
10206,13
10207,17
10208,12
10209,12
10210,19
10211,12
10212,15
10213,20
10214,6
10215,10
10216,16
10217,22
10218,6
10219,13
10220,10
10221,17
10222,7
10223,10
10224,17
10225,18
10226,12
10227,11
10228,18
10229,10
10230,12
10231,11
10232,14
10233,11
10234,15
10235,13
10236,13
10237,13
10238,8
10239,12
10240,14
10241,12
10242,12
10243,13
10244,12
10245,15
10246,10
10247,17
10248,13
10249,14
10250,15
10251,15
10252,15
10253,21
10254,12
10255,12
10256,16
10257,6
10258,11
10259,8
10260,9
10261,5
10262,20
10263,14
10264,19
10265,14
10266,17
10267,5
10268,17
10269,18
10270,19
10271,16
10272,18
10273,19
10274,17
10275,13
10276,13
10277,19
10278,4
10279,12
10280,16
10281,19
10282,17
10283,8
10284,11
10285,18
10286,13
10287,13
10288,20
10289,9
10290,13
10291,20
10292,9
10293,8
10294,16
10295,15
10296,5
10297,15
10298,16
10299,18
10300,10
10301,13
10302,17
10303,18
10304,10
10305,18
10306,18
10307,17
10308,13
10309,11
10310,17
10311,18
10312,12
10313,14
10314,35
10315,19
10316,16
10317,13
10318,15
10319,12
10320,9
10321,10
10322,11
10323,4
10324,17
10325,17
10326,8
10327,15
10328,10
10329,15
10330,14
10331,6
10332,18
10333,20
10334,4
10335,13
10336,18
10337,19
10338,4
10339,14
10340,22
10341,11
10342,14
10343,9
10344,8
10345,9
10346,9
10347,22
10348,21
10349,3
10350,18
10351,19
10352,21
10353,16
10354,6
10355,16
10356,19
10357,22
10358,13
10359,13
10360,9
10361,15
10362,18
10363,18
10364,13
10365,22
10366,8
10367,14
10368,20
10369,10
10370,11
10371,17
10372,7
10373,11
10374,22
10375,6
10376,11
10377,19
10378,23
10379,13
10380,13
10381,12
10382,18
10383,12
10384,14
10385,18
10386,11
10387,15
10388,11
10389,8
10390,17
10391,17
10392,19
10393,11
10394,9
10395,13
10396,14
10397,10
10398,12
10399,20
10400,10
10401,13
10402,8
10403,16
10404,9
10405,16
10406,20
10407,18
10408,6
10409,18
10410,9
10411,5
10412,13
10413,13
10414,17
10415,12
10416,6
10417,14
10418,11
10419,16
10420,12
10421,15
10422,7
10423,6
10424,17
10425,7
10426,12
10427,6
10428,16
10429,16
10430,14
10431,13
10432,10
10433,27
10434,10
10435,16
10436,14
10437,8
10438,13
10439,17
10440,19
10441,13
10443,13
10449,17
10451,17
10452,9
10453,8
10454,6
10456,6
10459,10
10466,10
10468,16
10469,14
10472,11
10475,17
10476,8
10478,14
10483,3
10484,6
10488,13
10495,7
10501,12
10502,10
10506,17
10509,18
10512,16
10514,6
10516,26
10517,15
10518,4
10520,5
10521,12
10522,17
10523,16
10524,12
10526,13
10528,16
10529,15
10530,19
10535,15
10543,10
10544,15
10547,8
10549,14
10553,14
10556,15
10557,15
10561,11
10566,18
10567,13
10569,11
10570,12
10581,13
10587,9
10593,13
10594,15
10596,12
10602,19
10607,18
10608,14
10609,11
10611,8
10620,7
10624,12
10626,4
10628,12
10629,17
10630,16
10631,13
10636,7
10641,6
10642,3
10644,14
10645,16
10647,11
10650,10
10651,10
10653,9
10654,8
10657,15
10661,13
10664,6
10668,10
10669,9
10670,14
10672,9
10676,8
10683,12
10686,16
10689,6
10690,12
10692,12
10697,14
10703,14
10705,13
10711,9
10713,19
10719,12
10721,7
10723,18
10724,18
10727,9
10729,9
10733,6
10734,12
10735,10
10740,6
10743,8
10747,13
10750,13
10753,10
10755,10
10759,14
10760,14
10761,9
10763,6
10767,16
10770,7
10775,12
10781,4
10783,13
10786,6
10787,10
10793,10
10796,12
10798,13
10807,9
10808,12
10812,21
10814,17
10815,9
10816,37
10817,46
10818,17
10824,15
10825,8
10832,11
10833,4
10835,14
10838,14
10839,10
10840,6
10845,11
10848,18
10849,15
10851,10
10853,14
10854,7
10855,12
10856,8
10864,13
10867,13
10872,15
10874,12
10876,7
10878,5
10880,9
10883,6
10884,14
10885,13
10889,7
10891,18
10894,10
10899,15
10906,15
10907,10
10908,7
10909,9
10911,13
10912,13
10914,13
10915,14
10916,13
10918,10
10919,7
10920,14
10921,11
10925,8
10927,5
10929,10
10935,6
10936,8
10938,17
10942,11
10944,7
10989,13
10990,20
10993,12
11000,5
11001,13
11002,9
11004,8
11009,18
11010,6
11011,11
11021,12
11022,11
11024,11
11025,4
11028,17
11032,12
11047,12
11052,12
11054,3
11056,11
11057,8
11058,6
11060,12
11061,16
11068,13
11071,7
11073,14
11074,8
11075,10
11076,4
11081,17
11085,7
11087,4
11090,15
11092,12
11093,6
11094,11
11096,15
11099,16
11104,13
11106,15
11109,13
11110,14
11119,9
11122,16
11124,11
11129,17
11130,11
11131,8
11140,18
11148,14
11151,9
11163,4
11164,13
11168,15
11188,9
11189,11
11190,9
11191,4
11192,10
11195,10
11196,12
11200,16
11201,15
11206,8
11210,13
11211,18
11215,9
11219,11
11223,13
11227,10
11231,15
11236,13
11237,16
11240,12
11241,10
11242,14
11244,12
11252,14
11253,7
11257,8
11258,18
11261,6
11262,14
11274,7
11280,14
11281,6
11282,13
11285,6
11286,9
11287,8
11290,15
11291,15
11293,14
11294,18
11296,8
11301,30
11302,26
11305,7
11306,6
11307,7
11308,16
11309,20
11310,10
11311,6
11312,15
11313,10
11314,16
11315,16
11316,11
11317,20
11318,17
11319,13
11320,13
11321,14
11322,10
11323,18
11324,15
11325,20
11326,14
11327,10
11328,12
11329,14
11330,9
11331,12
11332,14
11333,8
11334,16
11335,10
11336,9
11337,12
11338,13
11339,14
11340,17
11341,13
11342,15
11343,13
11344,11
11345,13
11346,13
11347,16
11348,17
11349,16
11350,8
11351,10
11352,14
11353,12
11354,14
11355,11
11356,12
11357,13
11358,9
11359,10
11360,16
11361,12
11362,6
11363,9
11364,12
11365,15
11366,19
11367,11
11368,11
11369,13
11370,15
11371,14
11372,14
11373,14
11374,5
11375,8
11376,10
11377,15
11378,15
11379,14
11380,15
11381,11
11382,7
11383,8
11384,8
11385,18
11386,12
11387,15
11388,12
11389,13
11390,17
11391,4
11392,12
11393,8
11394,13
11395,10
11396,17
11397,10
11398,9
11399,14
11400,12
11401,14
11402,7
11403,13
11404,16
11405,10
11406,18
11407,14
11408,16
11409,8
11410,14
11411,11
11412,8
11413,10
11414,13
11415,9
11416,12
11417,11
11418,15
11419,13
11420,14
11421,8
11422,15
11423,14
11424,16
11425,8
11426,6
11427,12
11428,16
11429,10
11430,12
11431,15
11432,12
11433,10
11434,9
11435,20
11436,14
11437,13
11438,9
11439,15
11440,11
11441,13
11442,8
11443,14
11444,14
11445,13
11446,12
11447,11
11448,11
11449,13
11450,13
11451,7
11452,13
11453,13
11454,14
11455,15
11456,8
11457,8
11458,10
11459,8
11460,13
11461,6
11462,6
11463,6
11464,13
11465,8
11466,6
11467,13
11468,14
11469,13
11470,13
11471,15
11472,15
11473,14
11474,13
11475,17
11476,13
11477,7
11478,13
11479,14
11480,6
11481,15
11482,15
11483,16
11484,20
11485,12
11486,10
11487,14
11488,14
11489,9
11490,15
11491,11
11492,10
11493,13
11494,12
11495,12
11496,12
11497,18
11498,19
11499,12
11500,6
11501,5
11502,12
11503,15
11504,14
11505,11
11506,13
11507,11
11508,13
11509,7
11510,13
11511,7
11512,6
11513,5
11514,13
11515,10
11516,8
11517,14
11518,17
11519,12
11520,10
11521,11
11522,8
11523,11
11524,13
11525,4
11526,12
11527,11
11528,16
11529,15
11530,11
11531,15
11532,6
11533,10
11534,15
11535,10
11536,9
11537,13
11538,9
11539,12
11540,10
11541,9
11542,15
11543,5
11544,9
11545,10
11546,17
11547,16
11548,12
11549,12
11550,13
11551,16
11552,14
11553,12
11554,13
11555,16
11556,15
11557,10
11558,14
11559,12
11560,8
11561,13
11562,9
11563,13
11564,13
11565,10
11566,12
11567,14
11568,12
11569,12
11570,12
11571,13
11572,13
11573,15
11574,15
11575,7
11576,17
11577,14
11578,6
11579,6
11580,14
11581,11
11582,13
11583,11
11584,13
11585,14
11586,15
11587,10
11588,12
11589,9
11590,11
11591,10
11592,15
11593,13
11594,14
11595,19
11596,11
11597,14
11598,14
11599,13
11600,7
11601,14
11602,13
11603,13
11604,15
11605,6
11606,8
11607,14
11608,8
11609,14
11610,10
11611,14
11612,15
11613,17
11614,16
11615,15
11616,11
11617,12
11618,17
11619,19
11620,12
11621,8
11622,17
11623,16
11624,19
11625,5
11626,15
11627,10
11628,20
11629,10
11630,15
11631,17
11632,12
11633,17
11634,11
11635,7
11636,10
11637,14
11638,12
11639,14
11640,14
11641,13
11642,18
11643,14
11644,16
11645,9
11646,16
11647,10
11648,16
11649,14
11650,17
11651,15
11652,12
11653,19
11654,20
11655,10
11656,16
11657,9
11658,4
11659,20
11660,20
11661,12
11662,10
11663,17
11664,14
11665,14
11666,18
11667,13
11668,15
11669,13
11670,7
11671,15
11672,19
11673,10
11674,7
11675,15
11676,20
11677,14
11678,13
11679,14
11680,15
11681,14
11682,6
11683,17
11684,12
11685,12
11686,14
11687,15
11688,8
11689,18
11690,12
11691,6
11692,7
11693,19
11694,15
11695,6
11696,9
11697,10
11698,11
11699,10
11700,20
11701,20
11702,13
11703,17
11704,9
11705,7
11706,10
11707,13
11708,11
11709,11
11710,13
11711,12
11712,16
11713,15
11714,17
11715,15
11716,13
11717,7
11718,3
11719,9
11720,15
11721,17
11722,18
11723,13
11724,19
11725,8
11726,7
11727,15
11728,13
11729,12
11730,15
11731,13
11732,16
11733,20
11734,12
11735,16
11736,18
11737,16
11738,13
11739,11
11740,12
11741,12
11742,4
11743,4
11744,9
11745,7
11746,7
11747,7
11748,8
11749,8
11750,15
11751,22
11752,13
11753,13
11754,10
11755,16
11756,14
11757,7
11758,15
11759,16
11760,13
11761,17
11762,14
11763,16
11764,18
11765,8
11766,11
11767,17
11768,12
11769,17
11770,17
11771,15
11772,14
11773,16
11774,23
11775,12
11776,17
11777,17
11778,6
11779,13
11780,27
11781,15
11782,14
11783,17
11784,11
11785,17
11786,20
11787,17
11788,17
11789,15
11790,17
11791,16
11792,15
11793,11
11794,15
11795,15
11796,11
11797,8
11798,15
11799,10
11800,15
11801,5
11802,5
11803,13
11804,7
11805,12
11806,14
11807,13
11808,16
11809,13
11810,14
11811,10
11812,9
11813,14
11814,17
11815,7
11816,12
11817,12
11818,11
11819,13
11820,12
11821,13
11822,14
11823,11
11824,12
11825,9
11826,9
11827,11
11828,16
11829,15
11830,18
11831,8
11832,16
11833,17
11834,11
11835,13
11836,12
11837,10
11838,15
11839,14
11840,16
11841,8
11842,12
11843,18
11844,6
11845,6
11846,8
11847,11
11848,4
11849,5
11850,13
11851,19
11852,7
11853,17
11854,16
11855,18
11856,6
11857,4
11858,13
11859,8
11860,15
11861,19
11862,12
11863,11
11864,15
11865,10
11866,13
11867,12
11868,16
11869,10
11870,21
11871,9
11872,15
11873,9
11874,7
11875,13
11876,9
11877,8
11878,22
11879,14
11880,15
11881,7
11882,7
11883,11
11884,11
11885,13
11886,6
11887,12
11888,7
11889,5
11890,15
11891,6
11892,13
11893,10
11894,4
11895,16
11896,15
11897,8
11898,12
11899,13
11900,18
11901,15
11902,14
11903,15
11904,13
11905,16
11906,4
11907,15
11908,6
11909,11
11910,17
11911,9
11912,13
11913,16
11914,9
11915,16
11916,11
11917,15
11918,11
11919,7
11920,15
11921,18
11922,13
11923,13
11924,13
11925,19
11926,9
11927,2
11928,14
11929,22
11930,10
11931,14
11932,16
11933,15
11934,12
11935,19
11936,16
11937,13
11938,15
11939,9
11940,14
11941,17
11942,17
11943,13
11944,8
11945,18
11946,9
11947,9
11948,13
11949,17
11950,14
11951,16
11952,4
11953,18
11954,16
11955,8
11956,16
11957,17
12188,26
12189,24
12190,12
12191,5
12192,14
12193,11
12194,22
12195,23
12196,10
12197,24
12198,11
12199,10
12200,20
12201,13
12202,6
12203,28
12204,14
12205,16
12206,34
12207,13
12208,13
12209,20
12210,21
12211,3
12212,5
12213,11
12214,10
12215,33
12216,3
12217,3
12218,6
12219,52
12220,12
12221,26
12222,7
12223,18
12224,18
12225,10
12226,31
12227,25
12228,10
12229,26
12230,17
12231,6
12232,19
12233,6
12234,19
12235,28
12236,19
12237,4
12238,5
12239,56
12240,14
12241,8
12242,5
12243,19
12244,10
12245,7
12246,23
12247,40
12248,20
12249,20
12250,11
12251,18
12252,11
12253,5
12254,31
12255,57
12256,22
12257,19
12258,13
12259,11
12260,12
12261,6
12262,8
12263,7
12264,6
12265,10
12266,28
12267,14
12268,6
12269,29
12270,7
12271,5
12272,5
12273,20
12274,40
12275,21
12276,28
12277,17
12278,15
12279,18
12280,20
12281,12
12282,21
12283,13
12284,12
12285,7
12286,50
12287,23
12288,37
12289,11
12290,19
12291,23
12292,99
12293,24
12294,8
12295,8
12296,105
12297,8
12298,17
12299,11
12300,10
12301,45
12302,20
12303,8
12304,27
12305,16
12306,14
12307,4
12308,7
12309,49
12310,14
12311,9
12312,8
12313,27
12314,5
12315,8
12316,18
12317,9
12318,29
12319,10
12320,27
12321,16
12322,9
12323,9
12324,12
12325,19
12326,19
12327,9
12328,9
12329,8
12330,8
12331,22
12332,21
12333,12
12334,7
12335,5
12336,15
12337,27
12338,19
12339,18
12340,9
12341,19
12342,8
12343,44
12344,14
12345,30
12346,9
12347,4
12348,17
12349,26
12350,56
12351,6
12352,5
12353,17
12354,18
12355,10
12356,18
12357,12
12358,15
12359,43
12360,27
12361,13
12362,8
12363,13
12364,13
12365,12
12366,20
12367,9
12368,10
12369,9
12370,42
12371,22
12372,15
12373,9
12374,20
12375,29
12376,22
12377,18
12378,5
12379,11
12380,23
12381,25
12382,8
12383,61
12384,28
12385,14
12386,14
12387,10
12388,8
12389,9
12390,5
12391,2
12392,11
12393,8
12394,16
12395,14
12396,22
12397,7
12398,29
12399,6
12400,59
12401,8
12402,11
12403,11
12404,25
12405,33
12406,20
12407,26
12408,8
12409,51
12410,21
12411,15
12412,8
12413,17
12414,20
12415,8
12416,26
12417,8
12418,13
12419,25
12420,14
12421,9
12422,31
12423,20
12424,20
12425,11
12426,14
12427,10
12428,6
12429,12
12430,12
12431,18
12432,25
12433,7
12434,35
12435,16
12436,6
12437,6
12438,20
12439,26
12440,13
12441,11
12442,13
12443,24
12444,7
12445,10
12446,12
12447,18
12448,13
12449,25
12450,22
12451,8
12452,18
12453,13
12454,12
12455,73
12456,6
12457,11
12458,12
12459,15
12460,19
12461,9
12462,13
12463,14
12464,65
12465,9
12466,3
12467,21
12468,7
12469,14
12470,8
12471,11
12472,7
12473,13
12474,6
12475,36
12476,13
12477,10
12478,8
12479,8
12480,9
12481,20
12482,13
12483,25
12484,12
12485,14
12486,24
12487,25
12488,16
12489,5
12490,7
12491,31
12492,4
12493,9
12494,46
12495,23
12496,23
12497,18
12498,22
12499,15
12500,9
12501,8
12502,12
12503,8
12504,22
12505,26
12506,11
12507,9
12508,25
12509,4
12510,6
12511,22
12512,7
12513,7
12514,10
12515,4
12516,14
12517,16
12518,14
12519,11
12520,22
12521,7
12522,7
12523,18
12524,41
12525,14
12526,25
12527,10
12528,11
12529,26
12530,4
12531,9
12532,8
12533,18
12534,5
12535,10
12536,7
12537,8
12538,20
12539,5
12540,17
12541,6
12542,25
12543,17
12544,15
12545,20
12546,20
12547,30
12548,13
12549,13
12550,7
12551,6
12552,15
12553,23
12554,9
12555,17
12556,12
12557,18
12558,10
12559,11
12560,44
12561,32
12562,20
12563,47
12564,24
12565,19
12566,18
12567,14
12568,17
12569,28
12570,8
12571,11
12572,14
12573,5
12574,26
12575,12
12576,32
12577,16
12578,10
12579,12
12580,17
12581,8
12582,17
12583,10
12584,15
12585,7
12586,20
12587,5
12588,20
12589,9
12590,44
12591,29
12592,13
12593,12
12594,11
12595,12
12596,26
12597,13
12598,63
12599,63
12600,15
12601,19
12602,6
12603,7
12604,8
12605,12
12606,18
12607,10
12608,11
12609,7
12610,8
12611,12
12612,24
12613,24
12614,8
12615,6
12616,10
12617,4
12618,21
12619,47
12620,36
12621,16
12622,11
12623,11
12624,23
12625,21
12626,12
12627,11
12628,18
12629,10
12630,20
12631,11
12632,37
12633,16
12634,7
12635,21
12636,7
12637,28
12638,14
12639,23
12640,12
12641,29
12642,21
12643,3
12644,14
12645,16
12646,16
12647,13
12648,7
12649,33
12650,51
12651,8
12652,4
12653,14
12654,10
12655,31
12656,12
12657,26
12658,11
12659,54
12660,10
12661,10
12662,8
12663,22
12664,13
12665,4
12666,12
12667,10
12668,21
12669,7
12670,10
12671,25
12672,24
12673,15
12674,9
12675,7
12676,8
12677,13
12678,6
12679,41
12680,26
12681,17
12682,10
12683,19
12684,21
12685,29
12686,20
12687,45
12688,16
12689,7
12690,8
12691,32
12692,14
12693,9
12694,4
12695,33
12696,6
12697,25
12698,7
12699,14
12700,24
12701,9
12702,7
12703,20
12704,14
12705,9
12706,55
12707,9
12708,5
12709,21
12710,22
12711,19
12712,5
12713,11
12714,14
12715,35
12716,31
12717,8
12718,21
12719,8
12720,20
12721,10
12722,20
12723,40
12724,27
12725,38
12726,23
12727,15
12728,12
12729,32
12730,24
12731,12
12732,6
12733,23
12734,6
12735,36
12736,9
12737,23
12738,44
12739,7
12740,14
12741,58
12742,30
12743,8
12744,16
12745,15
12746,15
12747,8
12748,5
12749,5
12750,17
12751,13
12752,24
12753,36
12754,11
12755,20
12756,14
12757,19
12758,9
12759,27
12760,15
12761,24
12762,13
12763,10
12764,13
12765,6
12766,24
12767,11
12768,13
12769,12
12770,5
12771,20
12772,9
12773,9
12774,8
12775,25
12776,10
12777,10
12778,16
12779,36
12780,27
12781,14
12782,8
12783,14
12784,17
12785,6
12786,8
12787,15
12788,12
12789,11
12790,27
12791,30
12792,11
12793,20
12794,27
12795,7
12796,24
12797,28
12798,13
12799,9
12800,17
12801,11
12802,42
12803,5
12804,24
12805,13
12806,5
12807,13
12808,11
12809,12
12810,9
12811,14
12812,24
12813,13
12814,18
12815,25
12816,15
12817,18
12818,11
12819,15
12820,14
12821,18
12822,11
12823,57
12824,17
12825,12
12826,22
12827,11
12828,47
12829,45
12830,12
12831,22
12832,10
12833,26
12834,13
12835,23
12836,20
12837,23
12838,33
12839,9
12840,29
12841,14
12842,6
12843,64
12844,20
12845,7
12846,13
12847,10
12848,27
12849,28
12850,24
12851,15
12852,13
12853,22
12854,69
12855,28
12856,27
12857,15
12858,11
12859,11
12860,17
12861,14
12862,17
12863,15
12864,54
12865,28
12867,29
12868,16
12869,26
12870,18
12871,14
12872,14
12873,7
12874,12
12875,14
12876,12
12877,10
12878,16
12879,13
12880,16
12881,30
12882,5
12883,35
12884,14
12885,41
12886,21
12887,8
12888,21
12889,13
12890,18
12891,15
12892,12
12893,17
12894,19
12895,18
12896,16
12897,13
12898,13
12899,15
12900,4
12901,20
12902,14
12903,6
12904,7
12905,16
12906,15
12907,17
12908,31
12909,7
12910,43
12911,17
12912,12
12913,23
12914,26
12915,16
12916,21
12917,17
12918,13
12919,36
12920,17
12921,82
12922,11
12923,14
12924,15
12925,17
12926,53
12927,26
12928,8
12929,45
12930,17
12931,29
12932,52
12933,14
12934,25
12935,15
12936,8
12937,9
12938,28
12939,23
12940,16
12941,12
12942,18
12943,10
12944,23
12945,27
12946,13
12947,13
12948,92
12949,5
12950,21
12951,70
12952,23
12953,25
12954,7
12955,17
12956,22
12957,13
12958,16
12959,18
12960,5
12961,6
12962,16
12963,14
12964,40
12965,10
12966,11
12967,21
12968,10
12969,22
12970,18
12971,15
12972,30
12973,17
12974,33
12975,24
12976,7
12977,51
12978,19
12979,11
12980,24
12981,7
12982,8
12983,14
12984,26
12985,6
12986,15
12987,62
12988,15
12989,20
12990,17
12991,34
