,message_raw,message_tok
31,"Biogas systems in detention facilities in Rwanda and Nepal, and biogas and solar panels in a prison in the Philippines are among the steps taken to lessen demands on the environment.","['biogas', 'system', 'detention', 'facility', 'rwanda', 'nepal', 'biogas', 'solar', 'panel', 'prison', 'philippines', 'among', 'step', 'taken', 'lessen', 'demand', 'environment']"
32,"People should avoid having direct contact with infective tissues, or from being exposed to patients with pneumonic plague.","['people', 'avoid', 'direct', 'contact', 'infective', 'tissue', 'exposed', 'patient', 'pneumonic', 'plague']"
33,"Help with clothing , preparing meals or food boxes .","['help', 'clothing', 'preparing', 'meal', 'food', 'box']"
34,"In order to be able to continue and expand the work currently being done, The Salvation Army is urgently appealing for donations to support our efforts in this enormous tragedy.","['in', 'order', 'able', 'continue', 'expand', 'work', 'currently', 'done', 'the', 'salvation', 'army', 'urgently', 'appealing', 'donation', 'support', 'effort', 'enormous', 'tragedy']"
35,people can only wait for 3 days. respond,"['people', 'wait', '3', 'day', 'respond']"
36,The region where we is Dyeg around Petion-Ville. Our means are weak for continuing to help ,"['the', 'region', 'dyeg', 'around', 'petion', 'ville', 'our', 'mean', 'weak', 'continuing', 'help']"
37,only the clothes on my back I can't find because i have not participated in anything,"['clothes', 'back', 'i', 'find', 'participated', 'anything']"
38,"People on the Lower East Side need batteries , ice and can good","['people', 'lower', 'east', 'side', 'need', 'battery', 'ice', 'good']"
39,"CHENGDU, March 30 (Xinhua) -- Sixty primary and middle school guidance counselors in the quake-hit Sichuan Province began a five-day professional training Monday to enable them to better help traumatized students recover.","['chengdu', 'march', '30', 'xinhua', 'sixty', 'primary', 'middle', 'school', 'guidance', 'counselor', 'quake', 'hit', 'sichuan', 'province', 'began', 'five', 'day', 'professional', 'training', 'monday', 'enable', 'better', 'help', 'traumatized', 'student', 'recover']"
40,"As flood waters recede, there has been a marked increase in water-borne diseases, especially diarrhoea, pneumonia and skin infections, among flood survivors, many of whom are still awaiting relief.","['as', 'flood', 'water', 'recede', 'marked', 'increase', 'water', 'borne', 'disease', 'especially', 'diarrhoea', 'pneumonia', 'skin', 'infection', 'among', 'flood', 'survivor', 'many', 'still', 'awaiting', 'relief']"
41,"Moreover, those buildings are built with basements in which the pits should be installed.""","['moreover', 'building', 'built', 'basement', 'pit', 'installed']"
42,"WE LIVE IN CANAPEVERT SAINTE MARIE IMPASSE NICOLAS ,WE NEED TENTS WATER FOOD,AND POISON TO KILL THE BUGS.WHERE WE LIVE NOBODY CAME TO HELP US YET ","['we', 'live', 'in', 'canapevert', 'sainte', 'marie', 'impasse', 'nicolas', 'we', 'need', 'tents', 'water', 'food', 'and', 'poison', 'to', 'kill', 'the', 'bugs', 'where', 'we', 'live', 'nobody', 'came', 'to', 'help', 'us', 'yet']"
43,We forecast cloudy skies with sporadic showers throughout the week.,"['we', 'forecast', 'cloudy', 'sky', 'sporadic', 'shower', 'throughout', 'week']"
44,"I am a veteran with tools ( circular saw , drill , jigsaw , drill bits/screwdriver heads , etc . ) I have nothing but time and energy to help out with whatever might be needed . I can even buy food/coffee and bring it in from Greenpoint , Brooklyn . I do not have a car , but I have a bike and can also see about chartering a car service there . Thank you : )","['i', 'veteran', 'tool', 'circular', 'saw', 'drill', 'jigsaw', 'drill', 'bit', 'screwdriver', 'head', 'etc', 'i', 'nothing', 'time', 'energy', 'help', 'whatever', 'might', 'needed', 'i', 'even', 'buy', 'food', 'coffee', 'bring', 'greenpoint', 'brooklyn', 'i', 'car', 'i', 'bike', 'also', 'see', 'chartering', 'car', 'service', 'thank']"
45,"The floods in mid-July wiped out people's household food stocks and effectively removed all other sources of nutrition and income: fish farms are gone, poultry is drowned, fodder is unavailable for livestock so the animals are being sold at rock-bottom prices.","['the', 'flood', 'mid', 'july', 'wiped', 'people', 'household', 'food', 'stock', 'effectively', 'removed', 'source', 'nutrition', 'income', 'fish', 'farm', 'gone', 'poultry', 'drowned', 'fodder', 'unavailable', 'livestock', 'animal', 'sold', 'rock', 'bottom', 'price']"
46,"Drought Affected Areas: Construction of wells in Zabul and Kandahar provinces (3 districts in total) ongoing IDPs: Well construction, hand pump maintenance and construction of sanitation facilities in Shaydaie, Maslakh and Minaret Camps","['drought', 'affected', 'areas', 'construction', 'well', 'zabul', 'kandahar', 'province', '3', 'district', 'total', 'ongoing', 'idps', 'well', 'construction', 'hand', 'pump', 'maintenance', 'construction', 'sanitation', 'facility', 'shaydaie', 'maslakh', 'minaret', 'camps']"
47,"The last two Portuguese men held hostage in northern Angola by Cabinda separatist guerrillas were freed, Foreign Minister Jaime Gama and a rebel official announced Monday, according to a Lusa report.","['the', 'last', 'two', 'portuguese', 'men', 'held', 'hostage', 'northern', 'angola', 'cabinda', 'separatist', 'guerrilla', 'freed', 'foreign', 'minister', 'jaime', 'gama', 'rebel', 'official', 'announced', 'monday', 'according', 'lusa', 'report']"
48,"As reported by officials, poor water quality, not remedied by boiling the water, has led to numerous cases of diarrhoea amongst children and some cases of paratyphoid fever.","['as', 'reported', 'official', 'poor', 'water', 'quality', 'remedied', 'boiling', 'water', 'led', 'numerous', 'case', 'diarrhoea', 'amongst', 'child', 'case', 'paratyphoid', 'fever']"
49,"I speak english, portugues, french and creole. I can help. ","['i', 'speak', 'english', 'portugues', 'french', 'creole', 'i', 'help']"
50,Others were less enthusiastic about flood relief efforts.,"['others', 'le', 'enthusiastic', 'flood', 'relief', 'effort']"
51,"But the regions are dominated by the al-Qaida-linked militant group al-Shabab, which has limited the work that international aid groups can do in its territory.","['but', 'region', 'dominated', 'al', 'qaida', 'linked', 'militant', 'group', 'al', 'shabab', 'limited', 'work', 'international', 'aid', 'group', 'territory']"
52,"In some areas, the authorities are taking photographs and fingerprints of unidentified bodies before commencing mass burials.","['in', 'area', 'authority', 'taking', 'photograph', 'fingerprint', 'unidentified', 'body', 'commencing', 'mass', 'burial']"
53,An army spokesperson told CNN that a fire that spread to the arms depot triggered the explosions.,"['an', 'army', 'spokesperson', 'told', 'cnn', 'fire', 'spread', 'arm', 'depot', 'triggered', 'explosion']"
54,An additional 123 midwives and eight midwife coordinators received the same training as well as special lessons in the use of mobile phones and how to communicate remotely with doctors and obstetricians.,"['an', 'additional', '123', 'midwife', 'eight', 'midwife', 'coordinator', 'received', 'training', 'well', 'special', 'lesson', 'use', 'mobile', 'phone', 'communicate', 'remotely', 'doctor', 'obstetrician']"
55,The disease which has been identified by the Kenya Agriculture Research Institute as maize lethal necrosis has destroyed much of the crop in Narok and other parts of Rift Valley.,"['the', 'disease', 'identified', 'kenya', 'agriculture', 'research', 'institute', 'maize', 'lethal', 'necrosis', 'destroyed', 'much', 'crop', 'narok', 'part', 'rift', 'valley']"
56,it's important to live in Haiti and it means a lot. ,"['important', 'live', 'haiti', 'mean', 'lot']"
57,NOTES: this message has written in spanish.,"['notes', 'message', 'written', 'spanish']"
58,"To contribute to this work, please visit www.medair.org/donate.","['to', 'contribute', 'work', 'please', 'visit', 'www', 'medair', 'org', 'donate']"
59,"Please, Bon Repos, Impasse Gaillac, Comit L'Union. I need food and water. Thank you. ","['please', 'bon', 'repos', 'impasse', 'gaillac', 'comit', 'l', 'union', 'i', 'need', 'food', 'water', 'thank']"
60,just seen pics from the haiti earthquake,"['seen', 'pic', 'haiti', 'earthquake']"
61,"A strong earthquake struck the western part of Xinjiang region, China, at 10:03 hours, local time, on Monday 24 February 2003 (02:03 UTC, on 24 February).","['a', 'strong', 'earthquake', 'struck', 'western', 'part', 'xinjiang', 'region', 'china', '10', '03', 'hour', 'local', 'time', 'monday', '24', 'february', '2003', '02', '03', 'utc', '24', 'february']"
62,"Direct Relief partnered with Bharatiya Jain Sanghatana (BJS), a nonpro.t Indian assistance organization, to help rebuild the healthcare infrastructure in the Andaman and Nicobar Islands.The other issues require setting minimum expectations of recovery, establishing monitoring and accountability initatives, and introducing good practices.","['direct', 'relief', 'partnered', 'bharatiya', 'jain', 'sanghatana', 'bjs', 'nonpro', 'indian', 'assistance', 'organization', 'help', 'rebuild', 'healthcare', 'infrastructure', 'andaman', 'nicobar', 'islands', 'the', 'issue', 'require', 'setting', 'minimum', 'expectation', 'recovery', 'establishing', 'monitoring', 'accountability', 'initatives', 'introducing', 'good', 'practice']"
63,"I want to work. I have nothing to do. I am asking to find a job for me, please. I speak English. I live at Bizoton 53. I am a woman, thank you. ","['i', 'want', 'work', 'i', 'nothing', 'i', 'asking', 'find', 'job', 'please', 'i', 'speak', 'english', 'i', 'live', 'bizoton', '53', 'i', 'woman', 'thank']"
64,May God bless Haiti. Thank you! ,"['may', 'god', 'bless', 'haiti', 'thank']"
65,What we do - or don't do - now will have ripple effects for years to come.,"['what', 'ripple', 'effect', 'year', 'come']"
66,"22nd May 2015 In continuation to Nepal earthquake relief efforts from the government of Pakistan, another C-130 sortie were sent today carrying 362 tents.","['22nd', 'may', '2015', 'in', 'continuation', 'nepal', 'earthquake', 'relief', 'effort', 'government', 'pakistan', 'another', 'c', '130', 'sortie', 'sent', 'today', 'carrying', '362', 'tent']"
67,"Since the earthquake centered on Wenchuan County, Sichuan Province, 84,017 survivors had been rescued from the debris, more than 2.04 million injured hospitalized and 15.1 million people relocated to safe areas.","['since', 'earthquake', 'centered', 'wenchuan', 'county', 'sichuan', 'province', '84', '017', 'survivor', 'rescued', 'debris', '2', '04', 'million', 'injured', 'hospitalized', '15', '1', 'million', 'people', 'relocated', 'safe', 'area']"
68,I am also disaster-striken. I have not found anything. ,"['i', 'also', 'disaster', 'striken', 'i', 'found', 'anything']"
69,"This is why we work a lot in strengthening livelihoods, digging boreholes and giving access to clean water.","['this', 'work', 'lot', 'strengthening', 'livelihood', 'digging', 'boreholes', 'giving', 'access', 'clean', 'water']"
70,"The threat of exposure to dengue-carrying mosquitoes is rising with uncontrolled urbanization and a surge in the use of non-biodegradable packaging, which can act as a water reservoir for dengue mosquito breeding.","['the', 'threat', 'exposure', 'dengue', 'carrying', 'mosquito', 'rising', 'uncontrolled', 'urbanization', 'surge', 'use', 'non', 'biodegradable', 'packaging', 'act', 'water', 'reservoir', 'dengue', 'mosquito', 'breeding']"
71,"It seems province people don't need any food, nobody send to them. ","['it', 'seems', 'province', 'people', 'need', 'food', 'nobody', 'send']"
72,Last week a leader from the rebel faction of the Arab Movement of Azawad announced he was switching to the pro-government side.,"['last', 'week', 'leader', 'rebel', 'faction', 'arab', 'movement', 'azawad', 'announced', 'switching', 'pro', 'government', 'side']"
73,"If there is rain, will the water table (water source) be contaminated and make people sick ","['if', 'rain', 'water', 'table', 'water', 'source', 'contaminated', 'make', 'people', 'sick']"
74,"for the children juice and other things. Please help us, we are in Petionville, across from the cemetery, entrance of Jacquet station. ","['child', 'juice', 'thing', 'please', 'help', 'u', 'petionville', 'across', 'cemetery', 'entrance', 'jacquet', 'station']"
75,Traffic came to a grinding halt on the outskirts of Ongole town following flood waters entering the highway near Mundlamur village.,"['traffic', 'came', 'grinding', 'halt', 'outskirt', 'ongole', 'town', 'following', 'flood', 'water', 'entering', 'highway', 'near', 'mundlamur', 'village']"
76,Will the earthquake happening this afternoon be strong? They say that the satellites gave some insight. Please. ,"['will', 'earthquake', 'happening', 'afternoon', 'strong', 'they', 'say', 'satellite', 'gave', 'insight', 'please']"
77,there are people in Delmas 32 who form an association who is taking food on the name of the people in that neighborhood. they are just keeping it. it is not being distributed. ,"['people', 'delmas', '32', 'form', 'association', 'taking', 'food', 'name', 'people', 'neighborhood', 'keeping', 'distributed']"
78,"Water to drink, Please tell us how to pray because we nearly lose belief. Our pray is never arrive to Lord, in the sky. answer for me please. ","['water', 'drink', 'please', 'tell', 'u', 'pray', 'nearly', 'lose', 'belief', 'our', 'pray', 'never', 'arrive', 'lord', 'sky', 'answer', 'please']"
79,When will there be another earthquake again? ,"['when', 'another', 'earthquake']"
